JBCXM__Account__r.Data_ExternalId__c,JBCXM__Users__c,JBCXM__Stage__r.JBCXM__SystemName__c,JBCXM__Status__r.JBCXM__SystemName__c,JBCXM__Comments__c
Adoption Test - Account 1,123,stage1,InactiveCustomer,Adoption Test - Account 1 - stage1 - InactiveCustomer
Adoption Test - Account 2,234,stage2,ActiveCustomer,Adoption Test - Account 2 - stage2 - ActiveCustomer
Adoption Test - Account 3,234,stage3,InactiveCustomer,Adoption Test - Account 3 - stage3 - InactiveCustomer
Adoption Test - Account 4,32,stage4,ActiveCustomer,Adoption Test - Account 4 - stage4 - ActiveCustomer
Adoption Test - Account 5,44,stage5,InactiveCustomer,Adoption Test - Account 5 - stage5 - InactiveCustomer
Adoption Test - Account 6,534,stage6,ActiveCustomer,Adoption Test - Account 6 - stage6 - ActiveCustomer
Adoption Test - Account 7,6,stage1,InactiveCustomer,Adoption Test - Account 7 - stage1 - InactiveCustomer
Adoption Test - Account 8,456,stage2,ActiveCustomer,Adoption Test - Account 8 - stage2 - ActiveCustomer
Adoption Test - Account 9,45,stage3,InactiveCustomer,Adoption Test - Account 9 - stage3 - InactiveCustomer
Adoption Test - Account 10,765,stage4,ActiveCustomer,Adoption Test - Account 10 - stage4 - ActiveCustomer
Adoption Test - Account 11,,stage5,InactiveCustomer,Adoption Test - Account 11 - stage5 - InactiveCustomer
Adoption Test - Account 12,,stage6,ActiveCustomer,Adoption Test - Account 12 - stage6 - ActiveCustomer
Adoption Test - Account 13,,stage1,InactiveCustomer,Adoption Test - Account 13 - stage1 - InactiveCustomer
Adoption Test - Account 14,,stage2,ActiveCustomer,Adoption Test - Account 14 - stage2 - ActiveCustomer
Adoption Test - Account 15,,stage3,InactiveCustomer,Adoption Test - Account 15 - stage3 - InactiveCustomer
Adoption Test - Account 16,0,stage4,ActiveCustomer,Adoption Test - Account 16 - stage4 - ActiveCustomer
Adoption Test - Account 17,0,stage5,InactiveCustomer,Adoption Test - Account 17 - stage5 - InactiveCustomer
Adoption Test - Account 18,0,stage6,ActiveCustomer,Adoption Test - Account 18 - stage6 - ActiveCustomer
Adoption Test - Account 19,0,stage1,InactiveCustomer,Adoption Test - Account 19 - stage1 - InactiveCustomer
Adoption Test - Account 20,0,stage2,ActiveCustomer,Adoption Test - Account 20 - stage2 - ActiveCustomer
Adoption Test - Account 21,547,stage3,InactiveCustomer,Adoption Test - Account 21 - stage3 - InactiveCustomer
Adoption Test - Account 22,56,stage4,ActiveCustomer,Adoption Test - Account 22 - stage4 - ActiveCustomer
Adoption Test - Account 23,767,stage5,InactiveCustomer,Adoption Test - Account 23 - stage5 - InactiveCustomer
Adoption Test - Account 24,9870,stage6,ActiveCustomer,Adoption Test - Account 24 - stage6 - ActiveCustomer
Adoption Test - Account 25,78,stage1,InactiveCustomer,Adoption Test - Account 25 - stage1 - InactiveCustomer
Adoption Test - Account 26,56,stage2,ActiveCustomer,Adoption Test - Account 26 - stage2 - ActiveCustomer
Adoption Test - Account 27,745,stage3,InactiveCustomer,Adoption Test - Account 27 - stage3 - InactiveCustomer
Adoption Test - Account 28,23,stage4,ActiveCustomer,Adoption Test - Account 28 - stage4 - ActiveCustomer
Adoption Test - Account 29,4,stage5,InactiveCustomer,Adoption Test - Account 29 - stage5 - InactiveCustomer
Adoption Test - Account 30,234,stage6,ActiveCustomer,Adoption Test - Account 30 - stage6 - ActiveCustomer
Adoption Test - Account 31,235,stage1,InactiveCustomer,Adoption Test - Account 31 - stage1 - InactiveCustomer
Adoption Test - Account 32,45,stage2,ActiveCustomer,Adoption Test - Account 32 - stage2 - ActiveCustomer
Adoption Test - Account 33,756,stage3,InactiveCustomer,Adoption Test - Account 33 - stage3 - InactiveCustomer
Adoption Test - Account 34,67,stage4,ActiveCustomer,Adoption Test - Account 34 - stage4 - ActiveCustomer
Adoption Test - Account 35,84,stage5,InactiveCustomer,Adoption Test - Account 35 - stage5 - InactiveCustomer
Adoption Test - Account 36,4,stage6,ActiveCustomer,Adoption Test - Account 36 - stage6 - ActiveCustomer
Adoption Test - Account 37,12,stage1,InactiveCustomer,Adoption Test - Account 37 - stage1 - InactiveCustomer
Adoption Test - Account 38,3432,stage2,ActiveCustomer,Adoption Test - Account 38 - stage2 - ActiveCustomer
Adoption Test - Account 39,45,stage3,InactiveCustomer,Adoption Test - Account 39 - stage3 - InactiveCustomer
Adoption Test - Account 40,23,stage4,InactiveCustomer,Adoption Test - Account 40 - stage4 - InactiveCustomer
