Name,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,PHONE,FAX,WEBSITE,ANNUALREVENUE,NUMBEROFEMPLOYEES,DESCRIPTION,SicDesc,ACCOUNTSOURCE,P_C_CHECKBOX__C,P_C_CURRENCY__C,P_C_DATE__C,P_C_DATETIME__C,P_C_MULTIPICKLIST__C,P_C_NUMBER__C,P_C_PERCENT__C,P_C_PHONENUMBER__C,P_C_PICKLIST__C,P_C_TEXT__C,P_C_TEXTAREA__C,P_C_TEXTAREARICH__C,P_C_TEXTENCRYPTED__C,P_C_URL__C,P_C_EMAIL__C,Data_ExternalId__c
Copilot_Auto1,street-updated23,city,state,123,USA,123123,AAA-1212,www.gainsight.com,100,10,sample Description,Sic Description,Web,TRUE,122,-1,-1,MPvalue1;MPvalue2,121,23,1212,Pvalue1,p_c_Text,p_c_TextArea,Text Area Rich,EncryptedText,http://www.google.com,testcase1@gainsighttest.com,Copilot_Auto000
Copilot_Auto2,street,city,state,123,USA,123123,AAA-1212,www.gainsight.com,100,10,sample Description,Sic Description,Web,TRUE,122,-1,-1,MPvalue1;MPvalue2,121,23,1212,Pvalue1,p_c_Text,p_c_TextArea,Text Area Rich,EncryptedText,http://www.google.com,testcase1@gainsighttest.com,Copilot_Auto001
Copilot_Auto3,street,city,state,123,USA,123123,AAA-1212,www.gainsight.com,50,10,sample Description,Sic Description,Web,TRUE,122,-1,-1,MPvalue1;MPvalue2,121,23,1212,Pvalue1,p_c_Text,p_c_TextArea,Text Area Rich,EncryptedText,http://www.google.com,pparthiban@gainsight.com,Copilot_Auto002
Copilot_Auto4,street,city,state,123,USA,123123,AAA-1212,www.gainsight.com,50,10,sample Description,Sic Description,Web,TRUE,122,-1,-1,MPvalue1;MPvalue2,121,23,1212,Pvalue1,p_c_Text,p_c_TextArea,Text Area Rich,EncryptedText,http://www.google.com,pparthiban@gainsight.com,Copilot_Auto003
Copilot_Auto5,street,city,state,123,USA,123123,AAA-1212,www.gainsight.com,200,10,sample Description,Sic Description,Web,TRUE,122,-1,-1,MPvalue1;MPvalue2,121,23,1212,Pvalue1,p_c_Text,p_c_TextArea,Text Area Rich,EncryptedText,http://www.google.com,pparthiban@gainsight.com,Copilot_Auto004
Copilot_Auto6,street,city,state,123,USA,123123,AAA-1212,www.gainsight.com,200,10,sample Description,Sic Description,Web,TRUE,122,-1,-1,MPvalue1;MPvalue2,121,23,1212,Pvalue1,p_c_Text,p_c_TextArea,Text Area Rich,EncryptedText,http://www.google.com,pparthiban@gainsight.com,Copilot_Auto005
Copilot_Auto7,street,city,state,123,USA,123123,AAA-1212,www.gainsight.com,121,10,sample Description,Sic Description,Web,TRUE,122,-1,-1,MPvalue1;MPvalue2,121,23,1212,Pvalue1,p_c_Text,p_c_TextArea,Text Area Rich,EncryptedText,http://www.google.com,pparthiban@gainsight.com,Copilot_Auto006
Copilot_Auto8,street,city,state,123,USA,123123,AAA-1212,www.gainsight.com,121,10,sample Description,Sic Description,Web,TRUE,122,-1,-1,MPvalue1;MPvalue2,121,23,1212,Pvalue1,p_c_Text,p_c_TextArea,Text Area Rich,EncryptedText,http://www.google.com,pparthiban@gainsight.com,Copilot_Auto007
Copilot_Auto9,street,city,state,123,USA,123123,AAA-1212,www.gainsight.com,121,10,sample Description,Sic Description,Web,TRUE,122,-1,-1,MPvalue1;MPvalue2,121,23,1212,Pvalue1,p_c_Text,p_c_TextArea,Text Area Rich,EncryptedText,http://www.google.com,pparthiban@gainsight.com,Copilot_Auto008
Copilot_Auto10,street,city,state,123,USA,123123,AAA-1212,www.gainsight.com,121,10,sample Description,Sic Description,Web,TRUE,122,-1,-1,MPvalue1;MPvalue2,121,23,1212,Pvalue1,p_c_Text,p_c_TextArea,Text Area Rich,EncryptedText,http://www.google.com,pparthiban@gainsight.com,Copilot_Auto009
