JBCXM__Account__r.Data_ExternalID__c,JBCXM__Date__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Name
Rule Account 1,-1,1000,2000,900,1100,ACCOUNTLEVEL
Rule Account 2,-1,500,600,490,510,ACCOUNTLEVEL
Rule Account 3,-5,800,700,,500,ACCOUNTLEVEL
Rule Account 3,-4,700,500,400,600,ACCOUNTLEVEL
Rule Account 3,-3,600,400,600,700,ACCOUNTLEVEL
Rule Account 3,-2,500,600,500,800,ACCOUNTLEVEL
Rule Account 3,-1,410,390,280,900,ACCOUNTLEVEL
Rule Account 4,-5,800,700,400,500,ACCOUNTLEVEL
Rule Account 4,-4,700,500,,600,ACCOUNTLEVEL
Rule Account 4,-3,600,400,600,700,ACCOUNTLEVEL
Rule Account 4,-2,500,600,500,800,ACCOUNTLEVEL
Rule Account 4,-1,850,700,745,900,ACCOUNTLEVEL
Rule Account 5,-5,400,345,456,323,ACCOUNTLEVEL
Rule Account 5,-4,500,345,456,666,ACCOUNTLEVEL
Rule Account 5,-3,600,345,46,777,ACCOUNTLEVEL
Rule Account 5,-2,450,23,45,444,ACCOUNTLEVEL
Rule Account 5,-1,550,565,547,656,ACCOUNTLEVEL
Rule Account 6,-5,400,345,456,323,ACCOUNTLEVEL
Rule Account 6,-4,500,345,456,666,ACCOUNTLEVEL
Rule Account 6,-3,600,345,46,777,ACCOUNTLEVEL
Rule Account 6,-2,450,23,45,444,ACCOUNTLEVEL
Rule Account 6,-1,550,565,547,656,ACCOUNTLEVEL
Rule Account 7,-5,400,345,456,323,ACCOUNTLEVEL
Rule Account 7,-4,500,345,456,666,ACCOUNTLEVEL
Rule Account 7,-3,700,,46,,ACCOUNTLEVEL
Rule Account 7,-2,,1,,,ACCOUNTLEVEL
Rule Account 7,-1,900,550,547,655,ACCOUNTLEVEL
Rule Account 8,-5,400,345,456,323,ACCOUNTLEVEL
Rule Account 8,-4,500,345,456,666,ACCOUNTLEVEL
Rule Account 8,-3,700,,46,,ACCOUNTLEVEL
Rule Account 8,-2,,,,,ACCOUNTLEVEL
Rule Account 8,-1,900,565,547,656,ACCOUNTLEVEL
Rule Account 9,-5,345,345,234,345,ACCOUNTLEVEL
Rule Account 9,-4,564,453,2432,22,ACCOUNTLEVEL
Rule Account 9,-3,765,564,567,645,ACCOUNTLEVEL
Rule Account 9,-2,345,342,22,435,ACCOUNTLEVEL
Rule Account 9,-1,765,645,343,888,ACCOUNTLEVEL
Rule Account 10,-5,345,345,234,345,ACCOUNTLEVEL
Rule Account 10,-4,564,453,2432,22,ACCOUNTLEVEL
Rule Account 10,-3,765,564,567,645,ACCOUNTLEVEL
Rule Account 10,-2,345,342,22,435,ACCOUNTLEVEL
Rule Account 10,-1,765,645,343,888,ACCOUNTLEVEL
Rule Account 11,-5,345,345,234,345,ACCOUNTLEVEL
Rule Account 11,-4,564,453,2432,22,ACCOUNTLEVEL
Rule Account 11,-3,765,,567,,ACCOUNTLEVEL
Rule Account 11,-2,,,,790,ACCOUNTLEVEL
Rule Account 11,-1,1110,645,343,888,ACCOUNTLEVEL
Rule Account 12 ,-5,345,345,234,345,ACCOUNTLEVEL
Rule Account 12 ,-4,564,453,2432,22,ACCOUNTLEVEL
Rule Account 12 ,-3,765,,567,,ACCOUNTLEVEL
Rule Account 12 ,-2,,,,790,ACCOUNTLEVEL
Rule Account 12 ,-1,555,601,350,890,ACCOUNTLEVEL
Rule Account 13,-5,300,345,4233,200,ACCOUNTLEVEL
Rule Account 13,-4,300,345,199,301,ACCOUNTLEVEL
Rule Account 13,-3,300,654,299,299,ACCOUNTLEVEL
Rule Account 13,-2,300,345,289,499,ACCOUNTLEVEL
Rule Account 13,-1,300,324,99,302,ACCOUNTLEVEL
Rule Account 14,-5,300,345,4233,200,ACCOUNTLEVEL
Rule Account 14,-4,300,345,199,301,ACCOUNTLEVEL
Rule Account 14,-3,300,654,299,399,ACCOUNTLEVEL
Rule Account 14,-2,300,345,289,499,ACCOUNTLEVEL
Rule Account 14,-1,300,324,99,302,ACCOUNTLEVEL
